ID,Primary,Alias Of,Title,Severity,Evidence,Live Page/Endpoint,Relevant Code Files,Impact,Recommended Outcome,Implementation Complexity,Launch Impact,Confidence
NAV-007,Yes,,Networking Labs and Terminal Practice both visible with no explanation of how they differ,P2,Confirmed in code,/cli-labs and /terminal nav items,frontend/src/App.jsx,Student: duplicate-feeling nav items,Merge or clearly differentiate (see LAB-001),Medium,Moderate,High
NAV-008,Yes,,"""Study Tracker"" label gives no hint it's a distinct certification-objective catalog",P3,Confirmed in code,/study-tracker nav item,frontend/src/App.jsx,Student: naming confusion only,Rename to something self-explanatory (e.g. Certification Practice),Low,Low,Medium
ONBOARD-002,Yes,,Week 0's required quiz (ticketing-system fields) does not test the content of Week 0's one lesson (6-step method),P2,Confirmed in code,Week 0 curriculum content,curriculum source,Student: first assessment doesn't match first lesson,Align the Week 0 quiz to the 6-step lesson or add a second aligned quiz,Low,Low-moderate,High
CUR-001,Yes,,Lab submissions never award XP and have no mentor-review gate (unlike tickets),P2,Confirmed in code,POST /api/labs/{id}/submit,backend/app/routers/labs.py,Student: no visible reward for real lab effort; inconsistent with ticket flow,Add XP award and/or a mentor-review gate to lab submission parity with tickets,Medium,Moderate (engagement + learning-effectiveness impact),High
LAB-001,Yes,,Terminal Practice and Command Library are near-duplicate features; Terminal Practice's xterm.js widget is decorative/non-functional,P2,Confirmed in code,/terminal and /commands,"frontend/src/pages/TerminalCommandsPage.jsx, CommandReferencePage.jsx",Student: confusing duplication; risk of believing they practiced when nothing executed,Wire the terminal widget to the CLI-lab simulator or remove/merge the nav item,Medium,Moderate,High
LAB-002,Yes,,Screenshot evidence has no content validation (OCR) even where must_contain_text rules are authored for screenshots,P2,Confirmed in code,POST /api/tickets/uploads; ticket 1's required_evidence,backend/app/services/evidence_validator.py,Student: evidence is not truly verified; Mentor: cannot rely on automated evidence checks,Either implement lightweight OCR for screenshot text checks or drop must_contain_text from screenshot-type evidence definitions,Medium-High (OCR) / Low (schema cleanup),Low-moderate for a small trusted cohort,High
LAB-003,Yes,,Evidence is not required to submit a ticket or lab; submission succeeds with zero screenshots attached,P3,Confirmed in code,POST /api/tickets/{id}/submit,backend/app/routers/tickets.py,Student: can skip evidence entirely; Mentor: cannot assume evidence exists to review,"Consider making evidence mandatory for tickets above difficulty 1, or clearly label it optional",Low,Low for a small trusted cohort,High
QUIZ-001,Yes,,Optional/certification quiz visibility (SUPERSEDED - not present; see Pre-Week-0 sprint),P2,"Corrected 2026-07-21: original finding read the admin-only editorial-queue API and the raw curriculum dump, both of which intentionally show unvalidated quizzes for content review. Live student-account testing (list, direct detail GET, direct submit POST against known needs_edit quiz id 26) all returned 404/excluded.",Quiz browsing; /api/admin/quizzes/editorial-queue,quiz_visibility.py's student_visible_quiz_filters(),"None on launch safety - students cannot reach unvalidated quiz content today. Underlying content-quality issue (missing explanations, needs_edit status on ~76 quizzes) remains real but is a content-review priority, not a student-facing defect.",No launch action required. Content-quality corrections (existing dry-run-safe apply_quiz_answer_corrections.py) remain a legitimate post-launch improvement,Low (no fix needed),Not a blocker (downgraded from Moderate),High (superseded the original high-confidence-but-incorrect finding)
ADMIN-003,Yes,,Mentor's own dogfooding activity (1 ticket submission + 2 lab-started entries) appears in the squad-activity feed likely visible to students,P2,Observed live,/api/admin/squad/activity,backend squad_service.py,Student: may see unexplained mentor activity on day one,Clear the mentor's test activity or confirm the feed excludes mentor accounts from student view,Low,Low,High
ENGAGE-002,Yes,,Labs granting no XP creates a reward-signal mismatch that may steer students away from hands-on practice,P2,Confirmed in code,Same as CUR-001,backend/app/routers/labs.py,Student: rational incentive to deprioritize labs,Fix alongside CUR-001,Medium,Moderate,High
ENGAGE-003,Yes,,XP and Role are two separate progression systems with no explanation of the difference anywhere in the UI,P2,Confirmed in code,/ (Home) stat cards; nav,frontend/src/pages/StudentHome.jsx,Student: may not understand what actually reflects job-readiness,Add a short explanation of XP vs Role somewhere visible (ties to the Week 0 onboarding fix),Low,Moderate,High
LEARN-003,Yes,,Because labs carry no XP/mentor-gate/evidence-verification the platform's hands-on accountability is weaker than the lab content itself deserves,P2,Confirmed in code,"Same as CUR-001/LAB-002/LAB-003","backend/app/routers/labs.py, evidence_validator.py",Student: hands-on skill development is less enforced than ticket-based skill development,Bundle the CUR-001/LAB-002/LAB-003 fixes together as one lab-integrity pass,Medium,Moderate,High
ACCESS-001,Yes,,No skip-to-content link anywhere in the app,P2,Confirmed in code,All pages,frontend/src/App.jsx,Student: keyboard-only users must tab through full nav on every page,Add a standard skip-to-content link,Low,Low for current cohort size; compounds over 24 weeks of daily use,Medium (static analysis only; not browser-verified)
ACCESS-002,Yes,,Minimal deliberate keyboard-focus-visibility styling (5 occurrences app-wide),P2,Confirmed in code,All interactive elements,frontend/src/**/*.jsx,Student: keyboard focus may be hard to see while navigating,Add explicit focus-visible styling app-wide via a shared Tailwind utility class,Low-Medium,Low-moderate,Medium (not browser-verified)
TECH-001,No,TICKET-001,Same underlying cause as TICKET-001; listed for the technical-verification record only — not a separate defect,P1,Both observed live and confirmed in code,See TICKET-001,See TICKET-001,See TICKET-001,See TICKET-001 fix,Low,Blocks core loop,High
LESSON-002,Yes,,Week 0's single lesson is markedly thinner than the other 62 lessons in the program,P2,Confirmed in code,Week 0 curriculum content,curriculum source,Student: first lesson reads noticeably thinner than everything after it,"Expand Week 0's lesson depth, or intentionally keep it brief and pair with the onboarding fix instead",Low,Low-moderate,High
TICKET-004,Yes,,Rate-limit 429 rejections surface to students as a generic wrapped 500 error,P3,Observed live,POST /api/tickets/{id}/submit under load,backend/app/routers/tickets.py,Student: confusing generic error when hitting the 8/day AI-grading cap,Catch the rate-limit exception specifically and return a friendly 429,Low,Low,High — reproduced live this session
TICKET-002,Yes,,Ticket resubmission overwrites the prior writeup with no attempt history retained,P3,Confirmed in code,PUT-equivalent resubmit flow,backend/app/routers/tickets.py,Mentor: cannot see what changed between a rejected attempt and its resubmission,"Store prior writeups in a small history field, or accept as an intentional design tradeoff",Medium,Low,High
TICKET-003,Yes,,grade_now request field is accepted but never read; AI grading always runs synchronously,P4,Confirmed in code,POST /api/tickets/{id}/submit,backend/app/routers/tickets.py,None currently — dead field,Wire up or remove the field,Low,Low,High
TICKET-005,Yes,,No dedicated Outlook/M365 ticket or ransomware-escalation ticket exists in the 48-ticket catalog,P3,Confirmed in code,Ticket catalog,curriculum source,Student: two concrete real-world scenarios are under-covered,Add one Outlook/M365 ticket and one ransomware-discovery escalation ticket,Medium,Low-moderate,High
LAB-004,Yes,,No labs exist for the program's thinnest-practiced hard topics (subnetting/GPO/PowerShell),P3,Confirmed in code,Weeks 10/16/17 content,curriculum source,Student: hardest concepts get the least hands-on reinforcement,"Add 1 lab each for subnetting worked-examples, GPO precedence, and PowerShell discovery pipelines",Medium,Moderate,High
QUIZ-002,Yes,,No systematic answer-position-bias or duplicate-question audit performed at full 104-quiz scale,P3,Not testable at full scale (sampled only),Quiz catalog,Quiz seed data,Student: unknown-scale risk of guessable patterns,Run an automated (scripted) full-catalog audit,Medium,Low,"Medium (sample-based finding, not exhaustive)"
QUIZ-003,Yes,,"Optional certification quizzes are heavily stacked in specific weeks (13 in Week 3, 12 in Week 7)",P3,Confirmed in code,Weeks 3 and 7 content,curriculum source,Student: overwhelm risk from undifferentiated optional volume,Spread optional quizzes more evenly across adjacent weeks,Low,Moderate,High
ADMIN-001,Yes,,No stalled-student (inactivity) signal in the admin students-overview data,P3,Observed live,/api/admin/students/overview,backend admin_content.py or students router,Mentor: must infer stalled students manually,Add a last-activity-based flag to the overview payload,Low-Medium,Low (pre-launch; matters once cohort is active),High
ADMIN-002,Yes,,Failed-quiz detail is not surfaced directly in the students-overview payload,P3,Observed live,/api/admin/students/overview,backend admin router,Mentor: must drill into per-student detail to see specific failures,Add a recent-failed-quizzes field to the overview payload,Low-Medium,Low,High
ADMIN-004,Yes,,No consolidated daily/weekly mentor digest exists; mentor must check multiple dashboards separately,P3,Confirmed in code,Admin panel structure,backend/app/services/discord_service.py,Mentor: avoidable manual dashboard-checking workload,Route a daily/weekly digest through the existing Discord webhook integration,Medium,Low pre-launch; meaningful once cohort is active,High
ACCESS-003,Yes,,The one evidence-screenshot img tag in the app has no alt text,P3,Confirmed in code,Ticket feedback screenshots,frontend/src/pages/TicketFeedback.jsx,Student: minor screen-reader gap,Add descriptive alt text,Low,Low,High
ACCESS-004,Yes,,Roughly half of styled input fields appear to rely on placeholder text without a paired label,P3,Confirmed in code (heuristic count),Various forms across the app,frontend/src/**/*.jsx,Student: placeholder-only labeling is a known accessibility anti-pattern,Add explicit labels to remaining unlabeled inputs,Low-Medium,Low-moderate,"Medium (heuristic, not exhaustively verified per-file)"
LESSON-003,Yes,,"Weeks 10, 12, 14, 16, 17, 21 pair substantial lessons with only 1 ticket and no embedded worked example",P3,Confirmed in code,Multiple weeks' lesson content,curriculum source,Student: hardest concepts get thinnest embedded practice,Add one worked example directly in the lesson text for each,Low-Medium,Moderate,High
LEARN-001,Yes,,Group Policy (Week 16) is the clearest under-practiced/too-hard-for-its-practice-volume skill area,P3,Confirmed in code,Week 16 content,curriculum source,Student: hardest single concept in the program has the thinnest reinforcement,Add a worked GPO-precedence example/lab (overlaps LAB-004),Medium,Moderate,High
LEARN-002,Yes,,"AD, subnetting, and PowerShell would each benefit from one additional ticket matching their conceptual difficulty",P3,Confirmed in code,Weeks 10/14/17 content,curriculum source,Student: practice volume doesn't match concept difficulty,Add one ticket each,Medium,Moderate,High
ENGAGE-001,Yes,,A competitive leaderboard may be net-risky rather than net-positive for a 5-6-person cohort of friends,P3,Confirmed in code + product judgment,Leaderboard feature,backend leaderboard/mastery services,Student: relative-ranking visibility among friends could discourage rather than motivate,Consider a personal-progress framing instead of/alongside relative ranking,Medium,Moderate (social dynamics risk specific to this small cohort),"Medium (product judgment, not a defect)"
NAV-009,Yes,,Recommended nav consolidation from 9 to ~6 items,P3,Confirmed in code + product judgment,Full student nav,frontend/src/App.jsx,Student: nav complexity exceeds the brief's own 5-6-section target,"Merge Networking Labs/Terminal Practice, relabel Study Tracker, hide Capstones until genuinely unlocked",Medium,Moderate,High
LESSON-004,Yes,,A handful of dense lessons use long single-paragraph blocks rather than further bulleted structure,P4,Confirmed in code,Weeks 12/17 lesson content,curriculum source,Student: minor ADHD/dyslexia readability friction,Reformat into shorter bulleted sections,Low,Low,High
ACCESS-005,Yes,,No live browser/axe-core accessibility audit has been performed; this review is source-code-only,P4,Not testable in this environment,All pages,N/A,Unknown until a real audit is run,Schedule a live browser/axe-core accessibility pass,Medium,Low pre-launch,"High (honest scope limitation, not a defect)"
TECH-002,No,TICKET-004,Rate-limit 429s surfacing as generic 500s — technical-verification record only; same defect as TICKET-004,P3,Observed live,See TICKET-004,See TICKET-004,See TICKET-004,See TICKET-004 fix,Low,Low,High
TECH-003,No,TICKET-003,Dead grade_now field — technical-verification record only; same defect as TICKET-003,P4,Confirmed in code,See TICKET-003,See TICKET-003,See TICKET-003,See TICKET-003 fix,Low,Low,High
TECH-004,No,LAB-002,must_contain_text no-op for screenshots — technical-verification record only; same defect as LAB-002,P3,Confirmed in code,See LAB-002,See LAB-002,See LAB-002,See LAB-002 fix,Medium,Low-moderate,High
