quiz_id,full_title,source_url,source_type,current_week_number,current_domain_id,current_lesson_id,current_lesson_title,current_status,actual_question_count,stored_question_count,creation_date,exists_in_current_seed_files,appears_examcompass_import,authoring_provenance,same_or_similar_title,heavy_question_overlap,quality_score,classification,recommended_week,recommended_module,recommended_lesson,required_or_optional,recommended_difficulty,recommended_purpose,prerequisite_weeks,normal_weekly_checklist
11,"Packet Flow, ARP, and MAC Learning",NULL (no source URL stored),Current 24-week static seed,9,2.0,27,"ARP, MAC Learning, and Packet Flow",published,6,6,2026-07-17 05:38:38,Yes,No,Static seed-authored; no AI provenance marker,No very-similar title,No heavy overlap found,95,KEEP,9,MOD-009,"ARP, MAC Learning, and Packet Flow",Optional,3,Lesson check,8,Yes
12,"Cisco CLI, VLANs, and Interfaces",NULL (no source URL stored),Current 24-week static seed,10,2.0,29,VLANs and Access Ports,published,7,7,2026-07-17 05:38:38,Yes,No,Static seed-authored; no AI provenance marker,No very-similar title,No heavy overlap found,95,KEEP,10,MOD-010,VLANs and Access Ports,Required,3,Weekly assessment,9,Yes
13,"Trunks, Routing, and Network Services",NULL (no source URL stored),Current 24-week static seed,11,2.0,31,Trunks and the Native VLAN,published,7,7,2026-07-17 05:38:38,Yes,No,Static seed-authored; no AI provenance marker,No very-similar title,No heavy overlap found,95,KEEP,11,MOD-011,Trunks and the Native VLAN,Required,4,Weekly assessment,9-10,Yes
14,Network Troubleshooting and Secure Admin,NULL (no source URL stored),Current 24-week static seed,12,2.0,35,Structured Network Troubleshooting,published,7,7,2026-07-17 05:38:38,Yes,No,Static seed-authored; no AI provenance marker,#82 Network Troubleshooting Quiz (0.76),No heavy overlap found,96,CUMULATIVE_REVIEW,12,MOD-012,Structured Network Troubleshooting,Required,4,Cumulative review / Gate 3,9-11,Yes
15,Active Directory Foundations,NULL (no source URL stored),Current 24-week static seed,13,3.0,37,"Active Directory: Domains, OUs, Users, and Groups",published,8,8,2026-07-17 05:38:38,Yes,No,Static seed-authored; no AI provenance marker,#103 Active Directory Quiz (0.78),No heavy overlap; q2022 near q1964 in #7,95,KEEP,13,MOD-013,"Active Directory: Domains, OUs, Users, and Groups",Required,3,Weekly assessment,1-12,Yes
16,Domain Joins and File Access,NULL (no source URL stored),Current 24-week static seed,14,3.0,39,Domain Joins and Computer Accounts,published,7,7,2026-07-17 05:38:38,Yes,No,Static seed-authored; no AI provenance marker,No very-similar title,No heavy overlap found,95,KEEP,14,MOD-014,Domain Joins and Computer Accounts,Required,4,Weekly assessment,13,Yes
17,Group Policy Troubleshooting,NULL (no source URL stored),Current 24-week static seed,15,3.0,42,Troubleshooting Group Policy with gpresult and RSoP,published,7,7,2026-07-17 05:38:38,Yes,No,Static seed-authored; no AI provenance marker,No very-similar title,No heavy overlap found,88,KEEP,15,MOD-015,Troubleshooting Group Policy with gpresult and RSoP,Required,4,Weekly assessment,13-14,Yes
18,Server DNS/DHCP and PowerShell,NULL (no source URL stored),Current 24-week static seed,16,3.0,44,PowerShell for Investigation and Administration,published,8,8,2026-07-17 05:38:38,Yes,No,Static seed-authored; no AI provenance marker,No very-similar title,No heavy overlap found,91,CUMULATIVE_REVIEW,16,MOD-016,PowerShell for Investigation and Administration,Required,4,Cumulative review,13-15,Yes
19,"Server Operations, Backup, and Remoting",NULL (no source URL stored),Current 24-week static seed,17,3.0,46,Windows Server Backup and a Real Restore,published,7,7,2026-07-17 05:38:38,Yes,No,Static seed-authored; no AI provenance marker,No very-similar title,No heavy overlap found,95,KEEP,17,MOD-017,Windows Server Backup and a Real Restore,Required,4,Weekly assessment / Gate 4,13-16,Yes
20,"Linux Fundamentals: Files, Permissions, SSH",NULL (no source URL stored),Current 24-week static seed,18,6.0,49,"Permissions, Users, Groups, and sudo",published,8,8,2026-07-17 05:38:38,Yes,No,Static seed-authored; no AI provenance marker,No very-similar title,No heavy overlap found,94,KEEP,18,MOD-018,"Permissions, Users, Groups, and sudo",Required,3,Weekly assessment,1-17,Yes
21,"Services, Logs, and Linux Networking",NULL (no source URL stored),Current 24-week static seed,19,6.0,51,systemd Services and journalctl,published,8,8,2026-07-17 05:38:38,Yes,No,Static seed-authored; no AI provenance marker,No very-similar title,No heavy overlap found,93,KEEP,19,MOD-019,systemd Services and journalctl,Required,4,Weekly assessment,18,Yes
22,Linux in Production and Monitoring,NULL (no source URL stored),Current 24-week static seed,20,6.0,56,Monitoring and Alert Triage,published,8,8,2026-07-17 05:38:38,Yes,No,Static seed-authored; no AI provenance marker,No very-similar title,No heavy overlap found,93,CUMULATIVE_REVIEW,20,MOD-020,Monitoring and Alert Triage,Required,4,Cumulative Linux review,18-19,Yes
23,Cloud Concepts and Entra ID,NULL (no source URL stored),Current 24-week static seed,21,7.0,58,Entra ID: Cloud Identity Administration,published,8,8,2026-07-17 05:38:38,Yes,No,Static seed-authored; no AI provenance marker,No very-similar title,No heavy overlap found,95,KEEP,21,MOD-021,Entra ID: Cloud Identity Administration,Required,4,Weekly assessment,13-20,Yes
24,"Azure VMs, NSGs, and Storage",NULL (no source URL stored),Current 24-week static seed,22,7.0,59,Azure VMs and Network Security Groups,published,8,8,2026-07-17 05:38:38,Yes,No,Static seed-authored; no AI provenance marker,No very-similar title,No heavy overlap found,94,KEEP,22,MOD-022,Azure VMs and Network Security Groups,Required,4,Weekly assessment,18-21,Yes
25,Integrated Operations Readiness,NULL (no source URL stored),Current 24-week static seed,23,5.0,61,Working a Mixed Queue,published,6,6,2026-07-17 05:38:38,Yes,No,Static seed-authored; no AI provenance marker,No very-similar title,No heavy overlap found,95,CUMULATIVE_REVIEW,24,MOD-024,Capstone Briefing: Your First Week at Maple & Finch,Required,5,Cumulative review / Gate 5,1-23,Yes
26,Mobile Device Connection Methods Quiz,https://www.examcompass.com/comptia-a-plus-220-1201-certification-exam-mobile-device-connection-methods-quiz,ExamCompass web import (bookmarklet/import route),1,1101-1.0,NULL,Unlinked,published,7,7,2026-03-06 05:54:17,No,Yes,Scraped/imported from ExamCompass; not Nexus AI-generated,No very-similar title,No heavy overlap found,44,MERGE,LIB,A+ Practice Library,Certification bank,Optional,2,Certification practice,Varies,No
27,Mobile Device Hardware Servicing Quiz,https://www.examcompass.com/comptia-a-plus-220-1201-certification-exam-mobile-device-hardware-servicing-quiz,ExamCompass web import (bookmarklet/import route),1,1101-1.0,NULL,Unlinked,published,9,9,2026-03-25 09:48:02,No,Yes,Scraped/imported from ExamCompass; not Nexus AI-generated,No very-similar title,No heavy overlap found,54,MERGE,LIB,A+ Practice Library,Certification bank,Optional,2,Certification practice,Varies,No
28,Mobile Device Accessories Quiz,https://www.examcompass.com/comptia-a-plus-220-1201-certification-exam-mobile-device-accessories-quiz,ExamCompass web import (bookmarklet/import route),1,1101-1.0,NULL,Unlinked,published,5,5,2026-03-25 09:48:02,No,Yes,Scraped/imported from ExamCompass; not Nexus AI-generated,#35 Mobile Device Security Quiz (0.77),No heavy overlap found,44,MERGE,LIB,A+ Practice Library,Certification bank,Optional,2,Certification practice,Varies,No
29,Mobile Device Network Connectivity Quiz,https://www.examcompass.com/comptia-a-plus-220-1201-certification-exam-mobile-device-network-connectivity-quiz,ExamCompass web import (bookmarklet/import route),1,1101-1.0,NULL,Unlinked,published,9,9,2026-03-25 09:48:02,No,Yes,Scraped/imported from ExamCompass; not Nexus AI-generated,No very-similar title,No heavy overlap found,62,MERGE,8,MOD-008,The Client-Side Network Triage Tree,Optional,2,Remediation,1-7,No
30,Mobile Device Application Support Quiz,https://www.examcompass.com/comptia-a-plus-220-1201-certification-exam-mobile-device-application-support-quiz,ExamCompass web import (bookmarklet/import route),1,1101-1.0,NULL,Unlinked,published,6,6,2026-03-25 09:48:02,No,Yes,Scraped/imported from ExamCompass; not Nexus AI-generated,No very-similar title,No heavy overlap found,44,MERGE,LIB,A+ Practice Library,Certification bank,Optional,2,Certification practice,Varies,No
31,Malware Quiz,https://www.examcompass.com/comptia-a-plus-220-1202-certification-exam-malware-quiz,ExamCompass web import (bookmarklet/import route),7,1102-2.0,NULL,Unlinked,published,5,5,2026-03-25 09:48:03,No,Yes,Scraped/imported from ExamCompass; not Nexus AI-generated,No very-similar title,No heavy overlap found,61,REMEDIATION,7,MOD-007,Malware Response and Phishing Triage,Optional,2,Remediation,1-6,No
32,Social Engineering Quiz,https://www.examcompass.com/comptia-a-plus-220-1202-certification-exam-social-engineering-quiz,ExamCompass web import (bookmarklet/import route),7,1102-2.0,NULL,Unlinked,published,7,7,2026-03-25 09:48:03,No,Yes,Scraped/imported from ExamCompass; not Nexus AI-generated,No very-similar title,No heavy overlap found,71,KEEP_WITH_EDITS,7,MOD-007,Malware Response and Phishing Triage,Optional,3,Practice,1-6,No
33,Threats & Vulnerabilities Quiz,https://www.examcompass.com/comptia-a-plus-220-1202-certification-exam-threats-and-vulnerabilities-quiz,ExamCompass web import (bookmarklet/import route),7,1102-2.0,NULL,Unlinked,published,4,4,2026-03-25 09:48:03,No,Yes,Scraped/imported from ExamCompass; not Nexus AI-generated,No very-similar title,No heavy overlap found,58,MERGE,LIB,A+ Practice Library,Certification bank,Optional,2,Certification practice,Varies,No
34,Malware Removal Procedures Quiz,https://www.examcompass.com/comptia-a-plus-220-1202-certification-exam-malware-removal-procedures-quiz,ExamCompass web import (bookmarklet/import route),7,1102-2.0,NULL,Unlinked,published,8,8,2026-03-25 09:48:03,No,Yes,Scraped/imported from ExamCompass; not Nexus AI-generated,No very-similar title,No heavy overlap found,67,KEEP_WITH_EDITS,7,MOD-007,Malware Response and Phishing Triage,Optional,3,Practice,1-6,No
35,Mobile Device Security Quiz,https://www.examcompass.com/comptia-a-plus-220-1202-certification-exam-mobile-device-security-quiz,ExamCompass web import (bookmarklet/import route),7,1102-2.0,NULL,Unlinked,published,5,5,2026-03-25 09:48:03,No,Yes,Scraped/imported from ExamCompass; not Nexus AI-generated,#28 Mobile Device Accessories Quiz (0.77),No heavy overlap found,54,MERGE,LIB,A+ Practice Library,Certification bank,Optional,2,Certification practice,Varies,No
36,Data Destruction & Disposal Methods Quiz,https://www.examcompass.com/comptia-a-plus-220-1202-certification-exam-data-destruction-and-disposal-methods-quiz,ExamCompass web import (bookmarklet/import route),7,1102-2.0,NULL,Unlinked,published,4,4,2026-03-25 09:48:03,No,Yes,Scraped/imported from ExamCompass; not Nexus AI-generated,No very-similar title,No heavy overlap found,50,OPTIONAL_PRACTICE,LIB,A+ Practice Library,Certification bank,Optional,2,Certification practice,Varies,No
37,SOHO Network Security Quiz,https://www.examcompass.com/comptia-a-plus-220-1202-certification-exam-soho-network-security-quiz,ExamCompass web import (bookmarklet/import route),7,1102-2.0,NULL,Unlinked,published,6,6,2026-03-25 09:48:03,No,Yes,Scraped/imported from ExamCompass; not Nexus AI-generated,No very-similar title,No heavy overlap found,54,OPTIONAL_PRACTICE,11,MOD-011,"DHCP Relay, NAT, Firewall, VPN, and Wireless — Awareness",Optional,3,Certification practice,8-10,No
38,Web Browser Security Quiz,https://www.examcompass.com/comptia-a-plus-220-1202-certification-exam-web-browser-security-quiz,ExamCompass web import (bookmarklet/import route),7,1102-2.0,NULL,Unlinked,published,4,4,2026-03-25 09:48:03,No,Yes,Scraped/imported from ExamCompass; not Nexus AI-generated,No very-similar title,No heavy overlap found,54,OPTIONAL_PRACTICE,LIB,A+ Practice Library,Certification bank,Optional,2,Certification practice,Varies,No
39,Windows OS Troubleshooting Quiz,https://www.examcompass.com/comptia-a-plus-220-1202-certification-exam-windows-os-troubleshooting-quiz,ExamCompass web import (bookmarklet/import route),8,1102-3.0,NULL,Unlinked,published,5,5,2026-03-25 09:48:03,No,Yes,Scraped/imported from ExamCompass; not Nexus AI-generated,#6 Windows Deep Troubleshooting (0.81),No heavy overlap found,57,KEEP_WITH_EDITS,5,MOD-005,Startup Failures and Recovery Options,Optional,3,Practice,1-4,No
40,Mobile OS and App Troubleshooting Quiz,https://www.examcompass.com/comptia-a-plus-220-1202-certification-exam-mobile-os-and-app-troubleshooting-quiz,ExamCompass web import (bookmarklet/import route),8,1102-3.0,NULL,Unlinked,published,5,5,2026-03-25 09:48:03,No,Yes,Scraped/imported from ExamCompass; not Nexus AI-generated,#81 Mobile Devices Troubleshooting Quiz (0.79),No heavy overlap found,50,OPTIONAL_PRACTICE,LIB,A+ Practice Library,Certification bank,Optional,2,Certification practice,Varies,No
41,Common PC Security Issues Troubleshooting Quiz,https://www.examcompass.com/comptia-a-plus-220-1202-certification-exam-common-pc-security-issues-troubleshooting-quiz,ExamCompass web import (bookmarklet/import route),8,1102-3.0,NULL,Unlinked,published,4,4,2026-03-25 09:48:03,No,Yes,Scraped/imported from ExamCompass; not Nexus AI-generated,No very-similar title,No heavy overlap found,65,REMEDIATION,7,MOD-007,Defender and the Windows Firewall,Optional,2,Remediation,1-6,No
42,Ticketing Systems Quiz,https://www.examcompass.com/comptia-a-plus-220-1202-certification-exam-ticketing-systems-quiz,ExamCompass web import (bookmarklet/import route),9,1102-4.0,NULL,Unlinked,published,4,4,2026-03-25 09:48:03,No,Yes,Scraped/imported from ExamCompass; not Nexus AI-generated,No very-similar title,No heavy overlap found,48,MERGE,1,MOD-001,Anatomy of a Good Ticket,Optional,1,Merge into lesson check,0,No
43,Asset Management Quiz,https://www.examcompass.com/comptia-a-plus-220-1202-certification-exam-asset-management-quiz,ExamCompass web import (bookmarklet/import route),9,1102-4.0,NULL,Unlinked,published,10,10,2026-03-25 09:48:03,No,Yes,Scraped/imported from ExamCompass; not Nexus AI-generated,No very-similar title,No heavy overlap found,57,KEEP_WITH_EDITS,23,MOD-023,Working a Mixed Queue,Optional,3,Practice,1-22,No
44,Change Management Procedures Quiz,https://www.examcompass.com/comptia-a-plus-220-1202-certification-exam-change-management-procedures-quiz,ExamCompass web import (bookmarklet/import route),9,1102-4.0,NULL,Unlinked,published,5,5,2026-03-25 09:48:03,No,Yes,Scraped/imported from ExamCompass; not Nexus AI-generated,No very-similar title,No heavy overlap found,71,KEEP_WITH_EDITS,4,MOD-004,"Priority, Impact, and Not Making It Worse",Optional,3,Practice,1-3,No
45,Backup & Recovery Methods Quiz,https://www.examcompass.com/comptia-a-plus-220-1202-certification-exam-backup-and-recovery-methods-quiz,ExamCompass web import (bookmarklet/import route),9,1102-4.0,NULL,Unlinked,published,4,4,2026-03-25 09:48:03,No,Yes,Scraped/imported from ExamCompass; not Nexus AI-generated,No very-similar title,No heavy overlap found,62,MERGE,17,MOD-017,Windows Server Backup and a Real Restore,Optional,3,Merge into weekly assessment,1-16,No
46,Common Safety Procedures Quiz,https://www.examcompass.com/comptia-a-plus-220-1202-certification-exam-common-safety-procedures-quiz,ExamCompass web import (bookmarklet/import route),9,1102-4.0,NULL,Unlinked,published,5,5,2026-03-25 09:48:03,No,Yes,Scraped/imported from ExamCompass; not Nexus AI-generated,No very-similar title,No heavy overlap found,50,OPTIONAL_PRACTICE,LIB,A+ Practice Library,Certification bank,Optional,2,Certification practice,Varies,No
47,Environmental Impacts & Controls Quiz,https://www.examcompass.com/comptia-a-plus-220-1202-certification-exam-environmental-impacts-and-controls-quiz,ExamCompass web import (bookmarklet/import route),9,1102-4.0,NULL,Unlinked,published,5,5,2026-03-25 09:48:03,No,Yes,Scraped/imported from ExamCompass; not Nexus AI-generated,No very-similar title,No heavy overlap found,50,OPTIONAL_PRACTICE,LIB,A+ Practice Library,Certification bank,Optional,2,Certification practice,Varies,No
48,Incident Response Quiz,https://www.examcompass.com/comptia-a-plus-220-1202-certification-exam-incident-response-quiz,ExamCompass web import (bookmarklet/import route),9,1102-4.0,NULL,Unlinked,published,4,4,2026-03-25 09:48:03,No,Yes,Scraped/imported from ExamCompass; not Nexus AI-generated,No very-similar title,No heavy overlap found,67,KEEP_WITH_EDITS,23,MOD-023,Incident Communication and the Post-Incident Note,Optional,4,Practice,1-22,No
49,Software Licensing Concepts Quiz,https://www.examcompass.com/comptia-a-plus-220-1202-certification-exam-software-licensing-concepts-quiz,ExamCompass web import (bookmarklet/import route),9,1102-4.0,NULL,Unlinked,published,6,6,2026-03-25 09:48:03,No,Yes,Scraped/imported from ExamCompass; not Nexus AI-generated,No very-similar title,No heavy overlap found,50,OPTIONAL_PRACTICE,LIB,A+ Practice Library,Certification bank,Optional,2,Certification practice,Varies,No
50,Regulated Data Quiz,https://www.examcompass.com/comptia-a-plus-220-1202-certification-exam-regulated-data-quiz,ExamCompass web import (bookmarklet/import route),9,1102-4.0,NULL,Unlinked,published,5,5,2026-03-25 09:48:03,No,Yes,Scraped/imported from ExamCompass; not Nexus AI-generated,No very-similar title,No heavy overlap found,40,OPTIONAL_PRACTICE,LIB,A+ Practice Library,Certification bank,Optional,2,Certification practice,Varies,No
51,Communication & Professionalism Quiz,https://www.examcompass.com/comptia-a-plus-220-1202-certification-exam-communication-and-professionalism-quiz,ExamCompass web import (bookmarklet/import route),9,1102-4.0,NULL,Unlinked,published,14,14,2026-03-25 09:48:03,No,Yes,Scraped/imported from ExamCompass; not Nexus AI-generated,No very-similar title,No heavy overlap found,67,KEEP_WITH_EDITS,4,MOD-004,Talking to Humans,Optional,2,Practice,1-3,No
52,Scripting Basics Quiz,https://www.examcompass.com/comptia-a-plus-220-1202-certification-exam-scripting-basics-quiz,ExamCompass web import (bookmarklet/import route),9,1102-4.0,NULL,Unlinked,published,7,7,2026-03-25 09:48:03,No,Yes,Scraped/imported from ExamCompass; not Nexus AI-generated,No very-similar title,No heavy overlap found,65,REMEDIATION,16,MOD-016,PowerShell for Investigation and Administration,Optional,2,Remediation,1-15,No
53,Remote Access Technologies Quiz,https://www.examcompass.com/comptia-a-plus-220-1202-certification-exam-remote-access-technologies-quiz,ExamCompass web import (bookmarklet/import route),9,1102-4.0,NULL,Unlinked,published,14,14,2026-03-25 09:48:03,No,Yes,Scraped/imported from ExamCompass; not Nexus AI-generated,No very-similar title,No heavy overlap found,71,KEEP_WITH_EDITS,7,MOD-007,Remote Desktop and Remote Support,Optional,3,Practice,1-6,No
54,Basic AI Concepts Quiz,https://www.examcompass.com/comptia-a-plus-220-1202-certification-exam-basic-ai-concepts-quiz,ExamCompass web import (bookmarklet/import route),9,1102-4.0,NULL,Unlinked,published,4,4,2026-03-25 09:48:03,No,Yes,Scraped/imported from ExamCompass; not Nexus AI-generated,No very-similar title,No heavy overlap found,53,OPTIONAL_PRACTICE,LIB,A+ Practice Library,Certification bank,Optional,2,Certification practice,Varies,No
55,Network Protocols Quiz,https://www.examcompass.com/comptia-a-plus-220-1201-certification-exam-network-protocols-quiz,ExamCompass web import (bookmarklet/import route),2,1101-2.0,NULL,Unlinked,published,19,19,2026-03-25 12:29:55,No,Yes,Scraped/imported from ExamCompass; not Nexus AI-generated,#64 Networking Tools Quiz (0.84),No heavy overlap; q764 near q1233 in #89,47,MERGE,11,MOD-011,"DHCP Relay, NAT, Firewall, VPN, and Wireless — Awareness",Optional,3,Practice,8-10,No
56,TCP & UDP Ports Quiz,https://www.examcompass.com/comptia-a-plus-220-1201-certification-exam-tcp-and-udp-ports-quiz,ExamCompass web import (bookmarklet/import route),2,1101-2.0,NULL,Unlinked,published,15,15,2026-03-25 12:29:55,No,Yes,Scraped/imported from ExamCompass; not Nexus AI-generated,No very-similar title,No heavy overlap found,50,REMEDIATION,11,MOD-011,"DHCP Relay, NAT, Firewall, VPN, and Wireless — Awareness",Optional,3,Practice,8-10,No
57,Wireless Networking Technologies Quiz,https://www.examcompass.com/comptia-a-plus-220-1201-certification-exam-wireless-networking-technologies-quiz,ExamCompass web import (bookmarklet/import route),2,1101-2.0,NULL,Unlinked,published,3,3,2026-03-25 12:29:55,No,Yes,Scraped/imported from ExamCompass; not Nexus AI-generated,No very-similar title,No heavy overlap found,57,MERGE,11,MOD-011,"DHCP Relay, NAT, Firewall, VPN, and Wireless — Awareness",Optional,3,Certification practice,8-10,No
58,Network Services Quiz,https://www.examcompass.com/comptia-a-plus-220-1201-certification-exam-network-services-quiz,ExamCompass web import (bookmarklet/import route),2,1101-2.0,NULL,Unlinked,published,20,20,2026-03-25 12:29:55,No,Yes,Scraped/imported from ExamCompass; not Nexus AI-generated,#63 Network Types Quiz (0.77),No heavy overlap found,56,KEEP_WITH_EDITS,11,MOD-011,"DHCP Relay, NAT, Firewall, VPN, and Wireless — Awareness",Optional,3,Practice,8-10,No
59,Network Configuration Concepts Quiz,https://www.examcompass.com/comptia-a-plus-220-1201-certification-exam-network-configuration-concepts-quiz,ExamCompass web import (bookmarklet/import route),2,1101-2.0,NULL,Unlinked,published,4,4,2026-03-25 12:29:55,No,Yes,Scraped/imported from ExamCompass; not Nexus AI-generated,No very-similar title,No heavy overlap found,65,REMEDIATION,8,MOD-008,The Client-Side Network Triage Tree,Optional,3,Practice,1-7,No
60,Common Networking Hardware Quiz,https://www.examcompass.com/comptia-a-plus-220-1201-certification-exam-common-networking-hardware-quiz,ExamCompass web import (bookmarklet/import route),2,1101-2.0,NULL,Unlinked,published,15,15,2026-03-25 12:29:55,No,Yes,Scraped/imported from ExamCompass; not Nexus AI-generated,No very-similar title,No heavy overlap found,61,REMEDIATION,9,MOD-009,IPv4 Addressing You Can Reason With,Optional,2,Remediation,8,No
61,IP Addressing Quiz,https://www.examcompass.com/comptia-a-plus-220-1201-certification-exam-ip-addressing-quiz,ExamCompass web import (bookmarklet/import route),2,1101-2.0,NULL,Unlinked,published,15,15,2026-03-25 12:29:55,No,Yes,Scraped/imported from ExamCompass; not Nexus AI-generated,No very-similar title,No heavy overlap found,47,MERGE,9,MOD-009,Practical Subnetting for Support,Optional,3,Merge into lesson check,8,No
62,Internet Connection Types Quiz,https://www.examcompass.com/comptia-a-plus-220-1201-certification-exam-internet-connection-types-quiz,ExamCompass web import (bookmarklet/import route),2,1101-2.0,NULL,Unlinked,published,8,8,2026-03-25 12:29:55,No,Yes,Scraped/imported from ExamCompass; not Nexus AI-generated,No very-similar title,No heavy overlap found,40,OPTIONAL_PRACTICE,LIB,A+ Practice Library,Certification bank,Optional,2,Certification practice,Varies,No
63,Network Types Quiz,https://www.examcompass.com/comptia-a-plus-220-1201-certification-exam-network-types-quiz,ExamCompass web import (bookmarklet/import route),2,1101-2.0,NULL,Unlinked,published,7,7,2026-03-25 12:29:55,No,Yes,Scraped/imported from ExamCompass; not Nexus AI-generated,#58 Network Services Quiz (0.77),No heavy overlap found,51,REMEDIATION,9,MOD-009,IPv4 Addressing You Can Reason With,Optional,2,Remediation,8,No
64,Networking Tools Quiz,https://www.examcompass.com/comptia-a-plus-220-1201-certification-exam-networking-tools-quiz,ExamCompass web import (bookmarklet/import route),2,1101-2.0,NULL,Unlinked,published,8,8,2026-03-25 12:29:55,No,Yes,Scraped/imported from ExamCompass; not Nexus AI-generated,#55 Network Protocols Quiz (0.84),No heavy overlap found,57,KEEP_WITH_EDITS,8,MOD-008,The Client-Side Network Triage Tree,Optional,3,Practice,1-7,No
65,Display Devices Quiz,https://www.examcompass.com/comptia-a-plus-220-1201-certification-exam-display-devices-quiz,ExamCompass web import (bookmarklet/import route),3,1101-3.0,NULL,Unlinked,published,10,10,2026-03-25 12:29:55,No,Yes,Scraped/imported from ExamCompass; not Nexus AI-generated,#69 Storage Devices Quiz (0.75),No heavy overlap found,40,OPTIONAL_PRACTICE,LIB,A+ Practice Library,Certification bank,Optional,2,Certification practice,Varies,No
66,Cabling Quiz,https://www.examcompass.com/comptia-a-plus-220-1201-certification-exam-cabling-quiz,ExamCompass web import (bookmarklet/import route),3,1101-3.0,NULL,Unlinked,published,36,36,2026-03-25 12:29:55,No,Yes,Scraped/imported from ExamCompass; not Nexus AI-generated,No very-similar title,No heavy overlap found,49,OPTIONAL_PRACTICE,LIB,A+ Practice Library,Certification bank,Optional,2,Certification practice,Varies,No
