module,item,concept,style,source_group,disposition,editorial_action
wintriage,T15,Reliability Monitor timeline,application,Nexus-reused,EDIT,Replaced giveaway distractors
wintriage,T16,PDF crash boundary,troubleshooting,Nexus-reused,APPROVE,None
wintriage,T17,Event 1000 faulting module,troubleshooting,Nexus-reused,REPLACE,Replaced low-value never-delete item with validated seed scenario
wintriage,T18,crash isolation comparisons,troubleshooting,new,EDIT,Converted to three-answer multi-select
wintriage,T19,application fix verification,troubleshooting,new,APPROVE,None
wintriage,T20,ticket documentation,application,new,APPROVE,None
wintriage,T21,Reliability Monitor short answer,foundation,new,EDIT,Added executable command variant
wintriage,T22,Safe Mode short answer,foundation,new,EDIT,Added valid Safe Mode variants
wintriage,T23,Task Manager short answer,foundation,new,EDIT,Added executable-name variant
wintriage,T24,slow-PC evidence plan,troubleshooting,new,APPROVE,None
wintriage,T25,crash escalation plan,troubleshooting,new,APPROVE,None
